source_file,source_row,column_name,issue_type,severity,raw_value,action_taken,detail
source2_gig_workers.csv,20,,column_shift,high,"react, javascript, mysql|ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG|Isha Chopra|1406/hr|Pune|active","Rotated fields back into header order -> ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG|Isha Chopra|1406/hr|Pune|active|react, javascript, mysql","Column 0 was not an email but a later column was, so the fields had shifted right by one"
source1_naukri_applicants.csv,6,Current CTC,ctc_mixed_units,high,4.2,Interpreted as 4.2 LPA -> 420000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,8,Current CTC,ctc_mixed_units,high,8.3,Interpreted as 8.3 LPA -> 830000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,14,Current CTC,ctc_mixed_units,high,5.1,Interpreted as 5.1 LPA -> 510000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,16,Current CTC,ctc_mixed_units,high,6.1,Interpreted as 6.1 LPA -> 610000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,17,Current CTC,ctc_mixed_units,high,5.8,Interpreted as 5.8 LPA -> 580000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,18,Current CTC,ctc_mixed_units,high,11.2,Interpreted as 11.2 LPA -> 1120000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,19,Current CTC,ctc_mixed_units,high,7.6,Interpreted as 7.6 LPA -> 760000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,21,Current CTC,ctc_mixed_units,high,2.4,Interpreted as 2.4 LPA -> 240000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,22,Current CTC,ctc_mixed_units,high,10.0,Interpreted as 10 LPA -> 1000000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,24,Current CTC,ctc_mixed_units,high,11.9,Interpreted as 11.9 LPA -> 1190000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,25,Current CTC,ctc_mixed_units,high,6.1,Interpreted as 6.1 LPA -> 610000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,27,Current CTC,ctc_mixed_units,high,7.8,Interpreted as 7.8 LPA -> 780000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
